ID,Groups,Description,Baseline [02-10 11:00],[02-10 12:55],[02-10 13:28],[02-10 13:46],[02-11 05:36]
I-BUG-14b,Open Bugs - Won't Fix (SHOULD FAIL),Records with >9 positional fields. [2026-02-10 06:37] (FAIL),X/X,X/X,X/X,X/X,X/X
I-BUG-14a,Open Bugs - Won't Fix (SHOULD FAIL),Records with named fields. [2026-02-10 06:37] (FAIL),X/X,X/X,X/X,X/X,X/X
I-LIM-3,Open Bugs - Won't Fix (SHOULD FAIL),Isolate.run interpreted closure. [2026-02-10 06:37] (FAIL),X/X,X/X,X/X,X/X,OK/X
I-NET-50,Uri methods - comprehensive,Fragment. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
,Import Tests > Combinators (show/hide),"Import with ""show"" avoids name conflict with local definition [2026-02-10 06:37]",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,Import Tests > Combinators (show/hide),"Import prefixed with ""hide"" - access allowed symbols [2026-02-10 06:37]",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,Import Tests > Combinators (show/hide),"Import prefixed with ""show"" - access allowed symbols [2026-02-10 06:37]",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,Import Tests > Combinators (show/hide),"Import with ""hide"" (no prefix) - access allowed symbols [2026-02-10 06:37]",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,Import Tests > Combinators (show/hide),"Import with ""show"" (no prefix) - access allowed symbols [2026-02-10 06:37]",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
I-CLASS-70,Class Tests,Instance method call (with parameters). [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-NET-47,Uri methods - comprehensive,Path. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-PAT-2,Advanced Pattern Matching Features,Map patterns with anonymous rest. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-PAT-7,Advanced Pattern Matching Features,Nested pattern matching with rest elements. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-PAT-6,Advanced Pattern Matching Features,Map patterns with rest elements. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-PAT-3,Advanced Pattern Matching Features,List patterns with rest elements - multiple positions. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-25,Const Expressions,Const Set with const keyword on literal. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-24,Const Expressions,Const Map with const keyword on literal. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-23,Const Expressions,Const List with const keyword on literal. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-22,Const Expressions,Const with conditional expression. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-21,Const Expressions,Const empty collections. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-20,Const Expressions,Const List with String concatenation. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-34,Const Expressions,Const nested Map. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-33,Const Expressions,Const nested List. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-32,Const Expressions,Const List with expressions. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
I-EXPR-31,Const Expressions,Const Set with typed declaration. [2026-02-10 06:37],--/OK,--/OK,--/OK,--/OK,OK/OK
