ID,Groups,Description,Baseline [05-21 11:27],[05-21 11:27],[05-21 12:00],[05-23 05:50],[06-05 11:06]
,AstBundle file I/O,creates parent directories,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundleAs<T>,returns null when T is nullable and bundle returns null,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundleAs<T>,throws D4UnwrapException when result is not a T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundleAsAsync<T>,passes through synchronous int results,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundleAsAsync<T>,throws D4UnwrapException for sync mismatched type,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,null handling,returns null when T is nullable,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,null handling,throws D4UnwrapException when T is non-nullable,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,null handling,uses expectedDescription override in error message,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,BridgedInstance,unwraps native object when assignable to T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,BridgedInstance,unwraps to a more specific T when concretely assignable,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,BridgedInstance,throws D4UnwrapException with bridged-class context when native is not a T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,BridgedEnumValue,unwraps native enum value when assignable to T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,BridgedEnumValue,throws D4UnwrapException when native enum is not a T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,raw value passthrough,returns plain primitives that already match T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,raw value passthrough,returns plain native objects that already match T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,raw value passthrough,throws D4UnwrapException when raw value mismatches T,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
