ID,Groups,Description,Baseline [04-22 20:07],[04-23 11:34],[04-23 11:58],[04-23 16:23]
,stdin error handling,should exit 2 on runtime error,OK/OK,X/OK,X/OK,X/OK
,stdin error handling,should exit 1 on empty stdin,OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — complete script,should execute complete script as-is,OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — main without imports,should use int return from main as exit code,OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — main without imports,should auto-prefix imports for bridge usage,OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — main without imports,should execute void main and exit 0,OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — bare statements,should auto-import dart:io,OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — bare statements,should auto-import dart:math (stdlib bridge),OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — bare statements,should use int return as exit code,OK/OK,X/OK,X/OK,X/OK
,stdin preprocessing — bare statements,should print output and exit 0,OK/OK,X/OK,X/OK,X/OK
,stdin shell script,test_stdin.sh passes all checks,OK/OK,X/OK,X/OK,X/OK
,env,gets HOME variable,OK/OK,OK/OK,OK/OK,OK/OK
,HOME,returns home directory,OK/OK,OK/OK,OK/OK,OK/OK
,HOME,equals env HOME,OK/OK,OK/OK,OK/OK,OK/OK
,HOME,home directory contains expected subdirectories,OK/OK,OK/OK,OK/OK,OK/OK
,PATH operations,PATH contains standard directories,OK/OK,OK/OK,OK/OK,OK/OK
,PATH operations,which finds common commands,OK/OK,OK/OK,OK/OK,OK/OK
,PATH operations,which finds sh,OK/OK,OK/OK,OK/OK,OK/OK
,PATH operations,isOnPATH returns false for non-existent command,OK/OK,OK/OK,OK/OK,OK/OK
,PATH operations,can find executable with which,OK/OK,OK/OK,OK/OK,OK/OK
,Env class,acts as map,OK/OK,OK/OK,OK/OK,OK/OK
,Env class,allows bracket notation,OK/OK,OK/OK,OK/OK,OK/OK
,withEnvironment,temporarily sets environment,OK/OK,OK/OK,OK/OK,OK/OK
,withEnvironment,restores previous value after block,OK/OK,OK/OK,OK/OK,OK/OK
,withEnvironment,handles null restoration,OK/OK,OK/OK,OK/OK,OK/OK
,withEnvironment,multiple variables,OK/OK,OK/OK,OK/OK,OK/OK
,platform detection,detects current platform,OK/OK,OK/OK,OK/OK,OK/OK
,platform detection,has valid path separator,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,build path from HOME,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,check required tools are available,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,build path with HOME constant,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,use env in command,OK/OK,OK/OK,OK/OK,OK/OK
,edge cases,env var with leading/trailing spaces,OK/OK,OK/OK,OK/OK,OK/OK
,edge cases,env var with newlines,OK/OK,OK/OK,OK/OK,OK/OK
,edge cases,env var with unicode,OK/OK,OK/OK,OK/OK,OK/OK
,edge cases,very long env var value,OK/OK,OK/OK,OK/OK,OK/OK
,env,returns null for non-existent variable,OK/OK,OK/OK,OK/OK,OK/OK
,env,handles empty values,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,returns null for empty query,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,exact match is case-insensitive by default,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,exact match can be case-sensitive with double quotes,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,exact match can be case-sensitive with single quotes,OK/OK,OK/OK,OK/OK,OK/OK
,env,can set environment variable,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,startsWith match is case-insensitive with trailing asterisk,OK/OK,OK/OK,OK/OK,OK/OK
,env,can unset environment variable,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,startsWith match can be case-sensitive with quotes,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,contains match is case-insensitive with surrounding asterisks,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilter,contains match can be case-sensitive with quotes,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilterDetails,exact match mode with no wildcards,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilterDetails,case-sensitive exact match with quotes,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilterDetails,startsWith match mode with trailing asterisk,OK/OK,OK/OK,OK/OK,OK/OK
,parseSearchFilterDetails,contains match mode with surrounding asterisks,OK/OK,OK/OK,OK/OK,OK/OK
,env,handles special characters in value,OK/OK,OK/OK,OK/OK,OK/OK
,env,handles equals sign in value,OK/OK,OK/OK,OK/OK,OK/OK
,envs,returns all environment variables,OK/OK,OK/OK,OK/OK,OK/OK
,envs,contains common variables,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,extract specific field in Dart,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,process wc output,OK/OK,OK/OK,OK/OK,OK/OK
,copy,copies file to new location,OK/OK,OK/OK,OK/OK,OK/OK
,copy,copies file preserving content,OK/OK,OK/OK,OK/OK,OK/OK
,moveDir,throws when source does not exist,OK/OK,OK/OK,OK/OK,OK/OK
,copy,overwrites existing file when overwrite is true,OK/OK,OK/OK,OK/OK,OK/OK
,copy,throws when dest exists and overwrite is false,OK/OK,OK/OK,OK/OK,OK/OK
,copy,copies empty file,OK/OK,OK/OK,OK/OK,OK/OK
,copy,copies binary file,OK/OK,OK/OK,OK/OK,OK/OK
,copy,copies to subdirectory,OK/OK,OK/OK,OK/OK,OK/OK
,move,moves file to new location,OK/OK,OK/OK,OK/OK,OK/OK
,move,preserves content when moving,OK/OK,OK/OK,OK/OK,OK/OK
,move,renames file in same directory,OK/OK,OK/OK,OK/OK,OK/OK
