suite	status	elapsed_s	passed	failed	skipped	framework_errors
essential_classes_test	PASS	75s	108	0	0	1
important_classes_test	PASS	97s	169	0	5	1
secondary_classes_test	PASS	415s	654	0	5	33
hardly_relevant_classes_1_test	FAIL	3816s	80	125	0	0
0
hardly_relevant_classes_2_test	PASS	153s	203	0	0	1
hardly_relevant_classes_3_test	PASS	133s	201	0	2	0
0
hardly_relevant_classes_4_test	PASS	161s	227	0	0	5
hardly_relevant_classes_5_test	PASS	180s	230	0	0	72
interactive_tests_test	PASS	36s	6	0	0	0
0
generator_interpreter_issues_test	FAIL	94s	65	18	1	18
generator_interpreter_retest_test	FAIL	53s	50	8	11	7
