suite	status	passed	failed	skipped	framework_errors_in_logs
essential_classes_test	PASS	108	0	0	1
important_classes_test	PASS	164	0	5	0
secondary_classes_test	PASS	649	0	5	24
hardly_relevant_classes_1_test	PASS	204	0	1	1
hardly_relevant_classes_2_test	PASS	203	0	0	0
hardly_relevant_classes_3_test	PASS	199	0	2	0
hardly_relevant_classes_4_test	PASS	227	0	0	1
hardly_relevant_classes_5_test	PASS	230	0	0	47
interactive_tests_test	PASS	6	0	0	0
generator_interpreter_issues_test	FAIL	71	11	1	11
generator_interpreter_retest_test	FAIL	40	7	11	6
