ID,Groups,Description,Baseline [02-26 18:04],[02-26 18:14],[02-26 18:22],[02-26 18:27],[02-26 18:38],[02-26 18:46],[02-26 18:53],[02-26 19:00],[02-26 19:00],[02-26 19:09],[02-26 19:16],[02-26 21:18],[02-26 21:31],[02-26 22:05],[02-26 22:09],[02-27 04:01],[02-27 04:03],[02-27 05:28],[02-27 05:34],[02-27 05:40],[02-27 05:52],[02-27 06:06],[02-27 06:11],[02-27 06:13],[02-27 06:23],[02-27 06:33],[02-27 07:03],[02-27 07:12],[02-27 07:33],[02-27 07:35],[02-27 07:43],[02-27 07:51],[02-27 08:00],[02-27 08:10],[02-27 10:35],[02-27 10:43],[02-27 11:01],[02-27 11:05],[02-27 11:13],[02-27 11:21],[02-27 11:28],[02-27 11:29],[02-27 11:35],[02-27 11:38],[02-27 12:12],[02-27 13:43],[02-27 13:55],[06-05 11:09],[06-07 13:36]
G-TYPE-2,dart_overview coverage > TYPE: Type Features,Record return type. [2026-02-10 06:37] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-TYPE-1,dart_overview coverage > TYPE: Type Features,Record parameter. [2026-02-10 06:37] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-1,DOV: Dart Overview Interpreter Failures > String Interpolation in Adjacent Strings,Adjacent strings with interpolation. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-6,DOV: Dart Overview Interpreter Failures > Abstract Method Inheritance Chain,Grandchild class inherits abstract method override. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-11,DOV: Dart Overview Interpreter Failures > Extensions on Nullable Types,Extension on nullable String. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-4,DOV: Dart Overview Interpreter Failures > LogicalAndPattern in switch/case,LogicalAnd pattern in if-case statement. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-2,DOV: Dart Overview Interpreter Failures > String Interpolation in Adjacent Strings,Multi-line adjacent string with multiple interpolations. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-3,DOV: Dart Overview Interpreter Failures > LogicalAndPattern in switch/case,Relational AND pattern in switch expression. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-5,DOV: Dart Overview Interpreter Failures > Constructor Tear-offs,Constructor tear-off with Class.new. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-7,DOV: Dart Overview Interpreter Failures > Abstract Method Inheritance Chain,Mixin chain with abstract method inherited from parent. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
